N,P,Fe,gNm1,gPm1,gFem1,dop,don,gDNm1,pop,pon,pofe,B,F,gBm1,gFm1,ro,prodB,prodN,fS,QnS,QnL,prodP,Jb,prodFe,mortB,QnQpS,QnQpL,QpS,QpL,muL,muS,JmuS
0.229288756382632,0.176905454447466,0.000602887806392442,6.54327781555451,0.7381449420738,0,4.01823945249789e-07,4.22312772303672e-06,0.00136822070860771,1.09459397905586e-06,1.14451528311131e-05,0,4.03224453177942e-05,1.93767968359383e-08,0.0102043006496082,2.40721753467805e-06,10.1843126564872,0.0110127330754308,0.111965272116402,0.470514108787632,0.100831582787796,0.100737897141435,0.0110150872288095,0.00972266225944445,3.30452616864284e-06,0.00129007081598634,10.3090742190202,10.0734464816175,0.00978085719877369,0.0100003407299841,330.126483067768,293.358464400568,0.131260497459518
0.232587820402406,0.177277695908058,0.000603164329213328,6.59812803954848,0.744482921184046,0,4.79207404182595e-07,5.0131902140799e-06,0.00158012498208637,1.2968902911699e-06,1.35051856734635e-05,0,4.61701369613387e-05,2.06649142566353e-08,0.011695383287089,2.57623484139395e-06,10.2017403378949,0.0126139339374775,0.128464247047545,0.470507027105534,0.100913506956444,0.100812192419087,0.0126164467908288,0.0111362272980337,3.78493403724865e-06,0.00147770663944375,10.3377942301471,10.0808429593711,0.00976160917018064,0.0100003732649532,330.28525537296,293.491210568525,0.132746167957108
0.235863328453945,0.177647294329106,0.000603438575046832,6.55101610307813,0.739196842095475,0,5.67831280446172e-07,5.9168362262526e-06,0.0018072920243454,1.52741470362448e-06,1.58476568562917e-05,0,5.28671464277943e-05,2.20383561287767e-08,0.0133940189329113,2.74688374428276e-06,10.2191738661726,0.0144500246849355,0.147415399711883,0.470500000244365,0.100995984703564,0.100887258633433,0.0144527075753412,0.0127570305657279,4.33581227260235e-06,0.00169299411920753,10.3664406495116,10.0883164126713,0.00974259035653891,0.0100004058662072,330.44338254303,293.623440300276,0.132229731750766
0.23914373426315,0.178017532396961,0.00060371314820791,6.56081161840972,0.740476135711282,0,6.69388036837072e-07,6.95581794415022e-06,0.00207796343579523,1.79057664992397e-06,1.85349159205332e-05,0,6.05400472411969e-05,2.35057799215769e-08,0.0153458016268051,2.93484758560036e-06,10.2366132396112,0.0165537397272183,0.169165544407813,0.470492960854323,0.101079012001707,0.100963095626533,0.0165566040883635,0.0146138831165949,4.96698122650904e-06,0.00193985661062342,10.3950135214726,10.0958668243541,0.00972379802997968,0.0100004385342109,330.602308589747,293.756357393524,0.132917093248508
0.24240958384396,0.178386212403864,0.000603986413253565,6.53169916162052,0.737360013805984,0,7.85761548390881e-07,8.14745903898988e-06,0.00238328218967932,2.09109112860576e-06,2.1606521647299e-05,0,6.93299684221925e-05,2.5072088304749e-08,0.0175798423619913,3.13261676634436e-06,10.2540575023476,0.0189651716099178,0.194139126793582,0.470485948254211,0.101162576821398,0.10103969191521,0.0189682300632414,0.0167420770862965,5.69046901897241e-06,0.00222309452362131,10.423512075309,10.1034930457804,0.00970522949371637,0.0100004712684399,330.76117133433,293.889242084959,0.132884691435062
0.245669775890454,0.178754388104727,0.000604259271530155,6.52038409298719,0.7363514017254,0,9.1915017107415e-07,9.51630045428337e-06,0.00273768283058698,2.43458474266412e-06,2.51277610205114e-05,0,7.94006956503029e-05,2.67449629018219e-08,0.0201414544562208,3.34574919414578e-06,10.2715062315189,0.0217289443653998,0.222809844988121,0.470478937823035,0.101246671724053,0.101117042220697,0.0217322101899335,0.0191808499208847,6.51966305698006e-06,0.0025480944445151,10.4519360149016,10.1111945481866,0.00968688208382668,0.0100005040689116,330.920492249386,294.022528692796,0.133286607837047
0.24891581349328,0.17912112617623,0.000604531089305404,6.4920752056512,0.733476143006565,0,1.07206474247339e-06,1.10878752522795e-05,0.00314314959599219,2.82741018573143e-06,2.91617712388729e-05,0,9.09388988385895e-05,2.85312585697106e-08,0.0230764063765732,3.57259133577734e-06,10.2889586493397,0.0248969438659173,0.255729114064547,0.470471943263806,0.101331286367638,0.101195136953475,0.02490043139145,0.021975799406441,7.47012941743499e-06,0.00292114445947626,10.4802847493927,10.1189703721485,0.0096687531675616,0.0100005369352602,331.079962587689,294.155959052305,0.133430359508438
0.252149156292329,0.179486640444128,0.000604802141902269,6.46668559809991,0.731028535794627,0,1.24740404155404e-06,1.2893246814042e-05,0.00361074312352498,3.27695069160208e-06,3.37887625964443e-05,0,0.000104159032049109,3.0439068364924e-08,0.026440266421038,3.81561959042672e-06,10.3064141406821,0.0285282832563919,0.293526326761668,0.470464955307786,0.101416411873504,0.101273968374016,0.0285320077403869,0.0251788189043637,8.55960232211606e-06,0.00334946435202824,10.5085578419068,10.1268197430767,0.00965084014374157,0.0100005698672826,331.239771681305,294.289690441139,0.133731388834324
0.255364762408639,0.179850406964522,0.000605072143741255,6.43121223261989,0.727533040789439,0,1.44850049137862e-06,1.49672621510999e-05,0.00414803067411578,3.7916680997607e-06,3.90967131816445e-05,0,0.00011930657392229,3.24766254714406e-08,0.0302950837463633,4.0751142130333e-06,10.3238719371987,0.0326909427209425,0.33692639433135,0.470457978456402,0.101502038177089,0.101353526816764,0.0326949205246721,0.0288495272493663,9.80847615740162e-06,0.00384141547157622,10.5367547363391,10.134741693975,0.00963314044190755,0.0100006028646017,331.399809972313,294.423630830917,0.1339403897783
0.258560870781502,0.180212286442584,0.000605341129089752,6.392216745725,0.723758956123555,0,1.67919628841647e-06,1.73507174002588e-05,0.00476691049831798,4.38134057559378e-06,4.51899852320525e-05,0,0.000136662922047716,3.46529730730318e-08,0.0347126962508513,4.35269520318246e-06,10.3413312937543,0.0374627499662162,0.386760633066512,0.470451008959659,0.101588155516176,0.101433802811671,0.0374669985685481,0.0330560915616683,1.12400995705644e-05,0.00440665840454796,10.5648749105963,10.142735277391,0.00961565152222355,0.0100006359268566,331.560147183727,294.557837730852,0.134206899935119
